TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0102,84,5,1220,1,X,2022,34219,0,670
1,0102,85,5,1220,2,X,2022,2966,0,58
1,0102,88,5,1220,1,X,2022,50935,0,997
1,0102,89,8,1220,1,X,2022,1550886,0,15353
1,0102,94,5,1220,1,X,2022,158954,0,1572
1,0102,98,8,1220,1,X,2022,549581,0,3577
1,0103,03,5,1220,1,X,2022,824571,0,13913
1,0103,05,5,1220,1,X,2022,260166,0,8289
1,0103,14,5,1220,1,X,2022,16074,0,865
1,0103,39,5,1220,1,X,2022,10879,0,370
1,0103,39,5,1220,2,X,2022,5544,0,108
1,0103,40,5,1220,1,X,2022,14923,0,325
1,0103,44,5,1220,1,X,2022,12097,0,237
1,0103,48,5,1220,1,X,2022,21514,0,422
1,0103,61,5,1220,2,X,2022,24401,0,444
1,0103,62,5,1220,2,X,2022,6897,0,224
1,0103,68,5,1220,1,X,2022,12526,0,318
1,0103,69,5,1220,1,X,2022,2797,0,276
1,0103,73,5,1220,1,X,2022,159997,0,6375
1,0103,76,5,1220,1,X,2022,12758,0,276
1,0103,84,5,1220,1,X,2022,86686,0,1178
1,0103,84,5,1220,2,X,2022,80889,0,1020
1,0103,85,5,1220,1,X,2022,51093,0,1119
1,0103,85,5,1220,2,X,2022,19840,0,401
1,0103,87,5,1220,1,X,2022,2615,0,51
1,0103,89,5,1220,1,X,2022,40923,0,405
1,0103,94,5,1220,1,X,2022,8447,0,328
1,0103,94,5,1220,2,X,2022,40498,0,227
1,0103,95,5,1220,1,X,2022,5067,0,98
1,0104,01,5,1220,1,X,2022,1813356,0,34308
1,0104,04,5,1220,1,X,2022,8606,0,250
1,0104,06,5,1220,1,X,2022,56689,0,6428
1,0104,07,5,1220,1,X,2022,266771,0,10273
1,0104,08,5,1220,1,X,2022,216103,0,7099
1,0104,10,6,1220,1,X,2022,92271,0,1808
1,0104,12,5,1220,1,X,2022,72043,0,2710
1,0104,13,5,1220,1,X,2022,70154,0,1090
1,0104,13,5,1220,2,X,2022,7551,0,147
1,0104,17,5,1220,1,X,2022,9366327,0,453688
1,0104,18,5,1220,1,X,2022,54496,0,539
1,0104,19,5,1220,1,X,2022,828956,0,62685
1,0104,21,5,1220,1,X,2022,279516,0,3325
1,0104,22,6,1220,1,X,2022,394405,0,18778
1,0104,25,5,1220,1,X,2022,197801,0,5588
1,0104,27,5,1220,1,X,2022,129190,0,1684
1,0104,27,6,1220,1,X,2022,125703,0,3540
1,0104,28,5,1220,1,X,2022,239982,0,28130
1,0104,28,6,1220,1,X,2022,46817,0,7001
1,0104,29,5,1220,1,X,2022,64676,0,4599
1,0104,31,5,1220,1,X,2022,575906,0,53371
1,0104,32,5,1220,1,X,2022,26866,0,737
1,0104,32,5,1220,2,X,2022,58325,0,2039
1,0104,34,5,1220,1,X,2022,37671,0,408
1,0104,35,5,1220,1,X,2022,20675,0,484
1,0104,35,5,1220,2,X,2022,13059,0,647
1,0104,38,5,1220,1,X,2022,977380,0,30052
1,0104,39,5,1220,1,X,2022,1294579,0,40112
1,0104,39,5,1220,2,X,2022,231382,0,7847
1,0104,40,5,1220,1,X,2022,206474,0,6705
1,0104,40,5,1220,2,X,2022,11683,0,253
1,0104,41,5,1220,1,X,2022,4037,0,79
1,0104,44,5,1220,1,X,2022,109884214,0,3523672
1,0104,44,5,1220,2,X,2022,190130,0,3514
1,0104,44,6,1220,1,X,2022,327252,0,28240
1,0104,44,8,1220,1,X,2022,2923,0,370
1,0104,47,5,1220,1,X,2022,8962949,0,647521
1,0104,47,6,1220,1,X,2022,621779,0,6074
1,0104,48,5,1220,1,X,2022,110234060,0,9813939
1,0104,48,5,1220,2,X,2022,253288,0,25246
1,0104,48,6,1220,1,X,2022,5869914,0,106031
1,0104,49,5,1220,1,X,2022,1146639,0,33476
1,0104,49,5,1220,2,X,2022,23116,0,672
1,0104,54,5,1220,1,X,2022,8704550,0,121584
1,0104,54,5,1220,2,X,2022,23894,0,235
1,0104,55,5,1220,1,X,2022,6288096,0,81439
1,0104,55,5,1220,2,X,2022,22340,0,321
1,0104,56,5,1220,1,X,2022,904277,0,10828
1,0104,56,5,1220,2,X,2022,54048,0,653
1,0104,57,5,1220,1,X,2022,2923,0,55
1,0104,58,5,1220,1,X,2022,77828,0,1759
1,0104,58,5,1220,2,X,2022,35065,0,1695
1,0104,59,5,1220,1,X,2022,98888,0,2919
1,0104,61,5,1220,2,X,2022,13765,0,268
1,0104,63,5,1220,1,X,2022,11550,0,40
1,0104,63,5,1220,2,X,2022,25201,0,793
1,0104,64,5,1220,1,X,2022,37334,0,730
1,0104,64,5,1220,2,X,2022,62816,0,625
1,0104,68,5,1220,1,X,2022,5729643,0,271951
1,0104,68,6,1220,1,X,2022,91092,0,4335
1,0104,69,5,1220,1,X,2022,227252,0,6555
1,0104,69,5,1220,2,X,2022,3525,0,112
1,0104,70,5,1220,1,X,2022,20558,0,342
1,0104,70,5,1220,2,X,2022,9397,0,222
1,0104,71,5,1220,2,X,2022,2568,0,31
1,0104,72,5,1220,1,X,2022,242211,0,11423
1,0104,72,5,1220,2,X,2022,38837,0,1914
1,0104,72,6,1220,1,X,2022,356514,0,7026
1,0104,73,5,1220,1,X,2022,324904,0,11855
1,0104,73,5,1220,2,X,2022,54895,0,3329
1,0104,74,5,1220,1,X,2022,1283554,0,9800
1,0104,74,5,1220,2,X,2022,3021,0,67
1,0104,75,5,1220,1,X,2022,18588,0,116
1,0104,76,5,1220,1,X,2022,2225359,0,96907
1,0104,78,5,1220,1,X,2022,2569,0,21
1,0104,80,5,1220,1,X,2022,4010,0,243
1,0104,82,5,1220,1,X,2022,22183,0,535
1,0104,82,5,1220,2,X,2022,18216,0,416
1,0104,83,5,1220,1,X,2022,30836,0,837
1,0104,83,5,1220,2,X,2022,8362,0,250
1,0104,84,5,1220,1,X,2022,4116137,0,67521
1,0104,84,5,1220,2,X,2022,14331236,0,390356
1,0104,85,5,1220,1,X,2022,457444,0,9460
1,0104,85,5,1220,2,X,2022,493214,0,8092
1,0104,86,5,1220,1,X,2022,26659,0,391
1,0104,87,5,1220,1,X,2022,20476977,0,508929
1,0104,87,5,1220,2,X,2022,955939,0,14416
1,0104,88,5,1220,1,X,2022,695991,0,6891
1,0104,89,5,1220,1,X,2022,2629794,0,38571
1,0104,90,5,1220,1,X,2022,292481,0,2364
1,0104,90,5,1220,2,X,2022,8940,0,108
1,0104,92,5,1220,1,X,2022,8895,0,258
1,0104,94,5,1220,1,X,2022,434650,0,11868
1,0104,94,5,1220,2,X,2022,43945,0,135
1,0104,95,5,1220,1,X,2022,79236,0,2448
1,0104,95,5,1220,2,X,2022,196206,0,5862
1,0104,96,5,1220,1,X,2022,9137,0,278
1,0104,97,5,1220,1,X,2022,50682,0,1101
1,0104,98,5,1220,1,X,2022,532455,0,11561
1,0105,23,5,1220,1,X,2022,13690,0,651
1,0105,23,6,1220,1,X,2022,628492,0,29891
1,0105,25,6,1220,1,X,2022,1085498,0,63294
1,0105,25,6,1220,2,X,2022,14400277,0,1305696
1,0105,27,6,1220,1,X,2022,1732696,0,37390
1,0105,29,5,1220,1,X,2022,432561,0,4282
1,0105,38,6,1220,1,X,2022,348663,0,3343
1,0105,39,5,1220,1,X,2022,53202,0,3426
1,0105,40,5,1220,1,X,2022,71634,0,3253
1,0105,44,5,1220,1,X,2022,43499,0,850
1,0105,44,6,1220,1,X,2022,11444381,0,1278359
1,0105,47,6,1220,1,X,2022,64207,0,78
1,0105,48,5,1220,1,X,2022,34409,0,717
1,0105,48,6,1220,1,X,2022,257185,0,474
1,0105,54,5,1220,1,X,2022,559989,0,17742
1,0105,54,5,1220,2,X,2022,12294,0,742
1,0105,56,5,1220,1,X,2022,32799,0,1371
1,0105,59,5,1220,1,X,2022,93698,0,1800
1,0105,68,5,1220,1,X,2022,2610,0,50
1,0105,72,5,1220,1,X,2022,63884,0,624
1,0105,72,6,1220,1,X,2022,628588,0,18005
1,0105,73,6,1220,1,X,2022,3314920,0,442
1,0105,73,6,1220,2,X,2022,509013,0,13341
1,0105,76,6,1220,1,X,2022,25245,0,589
1,0105,84,5,1220,2,X,2022,19739,0,324
1,0105,84,8,1220,1,X,2022,3704,0,99
1,0105,85,5,1220,1,X,2022,70932,0,1594
1,0105,86,5,1220,1,X,2022,5504,0,245
1,0105,86,6,1220,1,X,2022,402681,0,222
1,0105,87,5,1220,1,X,2022,21764,0,758
1,0105,94,5,1220,1,X,2022,11980,0,569
1,0105,94,5,1220,2,X,2022,8248,0,391
1,0105,95,5,1220,1,X,2022,71839,0,5517
1,0105,96,5,1220,2,X,2022,2687,0,97
1,0106,01,5,1220,1,X,2022,1695724,0,24571
1,0106,01,5,1220,2,X,2022,41454,0,1395
1,0106,03,5,1220,1,X,2022,34350360,0,666160
1,0106,03,5,1220,2,X,2022,16168805,0,276070
1,0106,04,5,1220,1,X,2022,983784,0,12727
1,0106,05,5,1220,1,X,2022,3668277,0,295488
1,0106,05,5,1220,2,X,2022,4821,0,94
1,0106,06,5,1220,1,X,2022,1333975,0,31036
1,0106,06,5,1220,2,X,2022,3750201,0,8126
1,0106,07,5,1220,1,X,2022,5820042,0,341771
1,0106,07,5,1220,2,X,2022,243485,0,16350
1,0106,08,5,1220,1,X,2022,3536701,0,93882
1,0106,08,5,1220,2,X,2022,18828855,0,373385
1,0106,09,5,1220,1,X,2022,155141,0,2471
1,0106,09,5,1220,2,X,2022,326966,0,16827
1,0106,10,5,1220,1,X,2022,320724,0,8210
1,0106,11,5,1220,1,X,2022,910678,0,100269
1,0106,11,5,1220,2,X,2022,68342,0,6026
1,0106,12,5,1220,1,X,2022,1480750,0,155151
1,0106,12,5,1220,2,X,2022,736058,0,682
1,0106,13,5,1220,1,X,2022,180155,0,3728
1,0106,14,5,1220,1,X,2022,98352,0,5294
1,0106,14,5,1220,2,X,2022,23914,0,1392
1,0106,15,5,1220,1,X,2022,4262736,0,126929
1,0106,15,5,1220,2,X,2022,107658,0,2697
1,0106,16,5,1220,1,X,2022,2811433,0,75090
1,0106,16,5,1220,2,X,2022,516190,0,5466
1,0106,17,5,1220,1,X,2022,125930,0,5720
1,0106,17,5,1220,2,X,2022,147199,0,1351
1,0106,18,5,1220,1,X,2022,1061250,0,15906
1,0106,18,5,1220,2,X,2022,5359,0,617
1,0106,19,5,1220,1,X,2022,21831660,0,2067561
1,0106,19,5,1220,2,X,2022,52052,0,231
1,0106,20,5,1220,1,X,2022,5465755,0,449851
1,0106,20,5,1220,2,X,2022,642354,0,23888
1,0106,21,5,1220,1,X,2022,1812670,0,110585
1,0106,21,5,1220,2,X,2022,771633,0,16965
1,0106,22,5,1220,1,X,2022,3062093,0,120119
1,0106,22,5,1220,2,X,2022,1187890,0,47481
1,0106,23,5,1220,1,X,2022,373697,0,6016
1,0106,25,5,1220,1,X,2022,2261400,0,106423
1,0106,25,5,1220,2,X,2022,163511,0,15119
1,0106,26,5,1220,1,X,2022,19226,0,2565
1,0106,27,5,1220,1,X,2022,15006344,0,414962
1,0106,27,5,1220,2,X,2022,143540,0,10476
1,0106,28,5,1220,1,X,2022,7969525,0,565756
1,0106,28,5,1220,2,X,2022,86370,0,12353
1,0106,28,6,1220,1,X,2022,444557,0,17400
1,0106,29,5,1220,1,X,2022,1910330,0,36726
1,0106,29,5,1220,2,X,2022,2886657,0,57294
1,0106,29,6,1220,1,X,2022,85229,0,3499
1,0106,30,5,1220,1,X,2022,56461,0,2609
1,0106,31,5,1220,1,X,2022,1593964,0,164336
1,0106,31,5,1220,2,X,2022,41681,0,2316
1,0106,32,5,1220,1,X,2022,7166802,0,210163
1,0106,32,5,1220,2,X,2022,439019,0,8121
1,0106,33,5,1220,1,X,2022,3435087,0,50254
